# Tiempo_dias,Posicion_AU,Velocidad_kms,a_Psi,rho_dot,I_Ni
0.000000000000000000e+00,6.684491978609625740e+00,-3.000000000000000000e+01,7.895683520871487004e-36,7.895683520871487004e-36,6.895683520871487401e-16
3.475697920142364339e-01,6.678469513403372915e+00,-3.000399013622801192e+01,-7.311760199027973934e-34,-7.311760199027973934e-34,7.301760199027973512e-14
6.951395840284728678e-01,6.672446246512468093e+00,-3.000798747582885895e+01,1.171997201218886973e-33,1.171997201218886973e-33,1.170997201218886789e-13
1.042709376042709302e+00,6.666422176488863371e+00,-3.001199203929089521e+01,-1.150343289563470772e-33,-1.150343289563470772e-33,1.149343289563470809e-13
1.390279168056945736e+00,6.660397301880507825e+00,-3.001600384717910686e+01,6.940235633940481878e-34,6.940235633940481878e-34,6.930235633940481446e-14
1.737848960071182169e+00,6.654371621231160105e+00,-3.002002292014056906e+01,3.036883793088813807e-35,3.036883793088813807e-35,2.936883793088813487e-15
2.085418752085418603e+00,6.648345133080375113e+00,-3.002404927890458808e+01,-7.275656400151811164e-34,-7.275656400151811164e-34,7.265656400151811223e-14
2.432988544099655037e+00,6.642317835963511108e+00,-3.002808294428276881e+01,1.143793105679319553e-33,1.143793105679319553e-33,1.142793105679319438e-13
2.780558336113891471e+00,6.636289728411725264e+00,-3.003212393716895789e+01,-1.108880583274637775e-33,-1.108880583274637775e-33,1.107880583274637694e-13
3.128128128128128349e+00,6.630260808951973672e+00,-3.003617227853928284e+01,6.551818551947212339e-34,6.551818551947212339e-34,6.541818551947213110e-14
3.475697920142364339e+00,6.624231076107014893e+00,-3.004022798945212003e+01,5.149557820992510614e-35,5.149557820992510614e-35,5.049557820992510429e-15
3.823267712156600773e+00,6.618200528395403737e+00,-3.004429109104813023e+01,-7.232769449184775687e-34,-7.232769449184775687e-34,7.222769449184775404e-14
4.170837504170837207e+00,6.612169164331499260e+00,-3.004836160455021954e+01,1.115837549925824235e-33,1.115837549925824235e-33,1.114837549925824177e-13
4.518407296185074529e+00,6.606136982409056557e+00,-3.005243955172923620e+01,-1.068480600740303106e-33,-1.068480600740303106e-33,1.067480600740302999e-13
4.865977088199310074e+00,6.600103980951663729e+00,-3.005652495915789046e+01,6.178051975346710352e-34,6.178051975346710352e-34,6.168051975346711144e-14
5.213546880213546508e+00,6.594070158430790585e+00,-3.006061784918812307e+01,7.132858132138399799e-35,7.132858132138399799e-35,7.032858132138399964e-15
5.561116672227782942e+00,6.588035513368868834e+00,-3.006471824268737336e+01,-7.183547295006669559e-34,-7.183547295006669559e-34,7.173547295006670130e-14
5.908686464242020264e+00,6.582000044282887430e+00,-3.006882616063814595e+01,1.088150151089609720e-33,1.088150151089609720e-33,1.087150151089609622e-13
6.256256256256256698e+00,6.575963749684392567e+00,-3.007294162413799299e+01,-1.029130727703009845e-33,-1.029130727703009845e-33,1.028130727703009725e-13
6.603826048270492244e+00,6.569926628079487685e+00,-3.007706465439950705e+01,5.818537949056859362e-34,5.818537949056859362e-34,5.808537949056859091e-14
6.951395840284728678e+00,6.563888677968835239e+00,-3.008119527275033889e+01,8.991903338029486720e-35,8.991903338029486720e-35,8.891903338029487165e-15
7.298965632298966000e+00,6.557849897847652265e+00,-3.008533350063319034e+01,-7.128419502051404602e-34,-7.128419502051404602e-34,7.118419502051404525e-14
7.646535424313201545e+00,6.551810286205714817e+00,-3.008947935960581077e+01,1.060749056022079770e-33,1.060749056022079770e-33,1.059749056022079670e-13
7.994105216327437979e+00,6.545769841527354416e+00,-3.009363287134099707e+01,-9.908178028154150112e-34,-9.908178028154150112e-34,9.898178028154149695e-14
8.341675008341674413e+00,6.539728562291463376e+00,-3.009779405762660076e+01,5.472884323671755050e-34,5.472884323671755050e-34,5.462884323671755277e-14
8.689244800355911735e+00,6.533686446971487705e+00,-3.010196294036551734e+01,1.073166540596316954e-34,1.073166540596316954e-34,1.063166540596316948e-14
9.036814592370149057e+00,6.527643494035433314e+00,-3.010613954157570049e+01,-7.067797797789950463e-34,-7.067797797789950463e-34,7.057797797789951137e-14
9.384384384384384603e+00,6.521599701945861582e+00,-3.011032388339014432e+01,1.033651004832290938e-33,1.033651004832290938e-33,1.032651004832290885e-13
9.731954176398620149e+00,6.515555069159892909e+00,-3.011451598805690466e+01,-9.535281656136658487e-34,-9.535281656136658487e-34,9.525281656136658057e-14
1.007952396841285747e+01,6.509509594129202270e+00,-3.011871587793907423e+01,5.140704895552906588e-34,5.140704895552906588e-34,5.130704895552907002e-14
1.042709376042709302e+01,6.503463275300025437e+00,-3.012292357551480748e+01,1.235697213645234655e-34,1.235697213645234655e-34,1.225697213645234624e-14
1.077466355244133034e+01,6.497416111113152759e+00,-3.012713910337729573e+01,-7.002076610066961503e-34,-7.002076610066961503e-34,6.992076610066961464e-14
1.112223334445556588e+01,6.491368100003933606e+00,-3.013136248423479557e+01,1.006871392438301332e-33,1.006871392438301332e-33,1.005871392438301228e-13
1.146980313646980321e+01,6.485319240402272811e+00,-3.013559374091060405e+01,-9.172477023031259927e-34,-9.172477023031259927e-34,9.162477023031259049e-14
1.181737292848404053e+01,6.479269530732635118e+00,-3.013983289634307283e+01,4.821619531501067540e-34,4.821619531501067540e-34,4.811619531501068003e-14
1.216494272049827607e+01,6.473218969414040735e+00,-3.014407997358559044e+01,1.387250967226771729e-34,1.387250967226771729e-34,1.377250967226771664e-14
1.251251251251251340e+01,6.467167554860066225e+00,-3.014833499580662135e+01,-6.931633594227761522e-34,-6.931633594227761522e-34,6.921633594227761899e-14
1.286008230452674717e+01,6.461115285478848946e+00,-3.015259798628964916e+01,9.804243281731192332e-34,9.804243281731192332e-34,9.794243281731191322e-14
1.320765209654098449e+01,6.455062159673078170e+00,-3.015686896843323339e+01,-8.819618894279902452e-34,-8.819618894279902452e-34,8.809618894279902327e-14
1.355522188855522181e+01,6.449008175840007517e+00,-3.016114796575097401e+01,4.515254278755785056e-34,4.515254278755785056e-34,4.505254278755785003e-14
1.390279168056945736e+01,6.442953332371441633e+00,-3.016543500187150784e+01,1.528282503415679323e-34,1.528282503415679323e-34,1.518282503415679441e-14
1.425036147258369468e+01,6.436897627653746845e+00,-3.016973010053854765e+01,-6.856830149985372472e-34,-6.856830149985372472e-34,6.846830149985372983e-14
1.459793126459793200e+01,6.430841060067842285e+00,-3.017403328561083597e+01,9.543226934858182344e-34,9.543226934858182344e-34,9.533226934858181681e-14
1.494550105661216932e+01,6.424783627989208767e+00,-3.017834458106216999e+01,-8.476558354948788952e-34,-8.476558354948788952e-34,8.466558354948787981e-14
1.529307084862640309e+01,6.418725329787882572e+00,-3.018266401098140506e+01,4.221241461043450841e-34,4.221241461043450841e-34,4.211241461043451312e-14
1.564064064064063864e+01,6.412666163828457222e+00,-3.018699159957243339e+01,1.659232867867437772e-34,1.659232867867437772e-34,1.649232867867437738e-14
1.598821043265487596e+01,6.406606128470082595e+00,-3.019132737115420895e+01,-6.778011927998227807e-34,-6.778011927998227807e-34,6.768011927998227815e-14
1.633578022466911150e+01,6.400545222066469364e+00,-3.019567135016072612e+01,9.285781977784413283e-34,9.285781977784413283e-34,9.275781977784412385e-14
1.668335001668334883e+01,6.394483442965880116e+00,-3.020002356114103392e+01,-8.143143206190404801e-34,-8.143143206190404801e-34,8.133143206190403565e-14
1.703091980869758615e+01,6.388420789511140008e+00,-3.020438402875923956e+01,3.939219761368097897e-34,3.939219761368097897e-34,3.929219761368097901e-14
1.737848960071182347e+01,6.382357260039628777e+00,-3.020875277779447998e+01,1.780529707359385273e-34,1.780529707359385273e-34,1.770529707359385200e-14
1.772605939272606079e+01,6.376292852883282514e+00,-3.021312983314096456e+01,-6.695509326137870022e-34,-6.695509326137870022e-34,6.685509326137869700e-14
1.807362918474029811e+01,6.370227566368598104e+00,-3.021751521980793598e+01,9.032014324191682450e-34,9.032014324191682450e-34,9.022014324191681738e-14
1.842119897675453188e+01,6.364161398816626125e+00,-3.022190896291969153e+01,-7.819218342596639413e-34,-7.819218342596639413e-34,7.809218342596638831e-14
1.876876876876876921e+01,6.358094348542977059e+00,-3.022631108771559028e+01,3.668834292221811091e-34,3.668834292221811091e-34,3.658834292221811309e-14
1.911633856078300298e+01,6.352026413857816856e+00,-3.023072161955001391e+01,1.892587528683380728e-34,1.892587528683380728e-34,1.882587528683380559e-14
1.946390835279724030e+01,6.345957593065869595e+00,-3.023514058389243075e+01,-6.609637975440150161e-34,-6.609637975440150161e-34,6.599637975440150286e-14
1.981147814481147762e+01,6.339887884466416601e+00,-3.023956800632732467e+01,8.782019229721315536e-34,8.782019229721315536e-34,8.772019229721314770e-14
2.015904793682571494e+01,6.333817286353297327e+00,-3.024400391255424836e+01,-7.504626111101582071e-34,-7.504626111101582071e-34,7.494626111101582383e-14
2.050661772883995226e+01,6.327745797014906692e+00,-3.024844832838780562e+01,3.409736653852332080e-34,3.409736653852332080e-34,3.399736653852331974e-14
2.085418752085418603e+01,6.321673414734198637e+00,-3.025290127975764065e+01,1.995807958488982741e-34,1.995807958488982741e-34,1.985807958488982878e-14
2.120175731286842336e+01,6.315600137788682567e+00,-3.025736279270845230e+01,-6.520699215754767643e-34,-6.520699215754767643e-34,6.510699215754767611e-14
2.154932710488266068e+01,6.309525964450427793e+00,-3.026183289339999050e+01,8.535881796840513429e-34,8.535881796840513429e-34,8.525881796840512914e-14
2.189689689689689800e+01,6.303450892986058207e+00,-3.026631160810705623e+01,-7.199206652067016474e-34,-7.199206652067016474e-34,7.189206652067016312e-14
2.224446668891113177e+01,6.297374921656758495e+00,-3.027079896321949093e+01,3.161584981226050230e-34,3.161584981226050230e-34,3.151584981226050495e-14
2.259203648092536909e+01,6.291298048718266145e+00,-3.027529498524219775e+01,2.090580003707968205e-34,2.090580003707968205e-34,2.080580003707968482e-14
2.293960627293960641e+01,6.285220272420878551e+00,-3.027979970079513095e+01,-6.428980561104610361e-34,-6.428980561104610361e-34,6.418980561104610930e-14
2.328717606495384373e+01,6.279141591009451240e+00,-3.028431313661328161e+01,8.293677462676815958e-34,8.293677462676815958e-34,8.283677462676815560e-14
2.363474585696808106e+01,6.273062002723395203e+00,-3.028883531954669905e+01,-6.902798223175467900e-34,-6.902798223175467900e-34,6.892798223175468687e-14
2.398231564898231483e+01,6.266981505796680452e+00,-3.029336627656048719e+01,2.924043980273697986e-34,2.924043980273697986e-34,2.914043980273698041e-14
2.432988544099655215e+01,6.260900098457830687e+00,-3.029790603473478328e+01,2.177280312203326130e-34,2.177280312203326130e-34,2.167280312203326462e-14
2.467745523301078947e+01,6.254817778929933070e+00,-3.030245462126480049e+01,-6.334756154793651423e-34,-6.334756154793651423e-34,6.324756154793651096e-14
2.502502502502502679e+01,6.248734545430624898e+00,-3.030701206346078180e+01,8.055472470217510712e-34,8.055472470217510712e-34,8.045472470217509646e-14
2.537259481703926056e+01,6.242650396172107818e+00,-3.031157838874802124e+01,-6.615237506736981749e-34,-6.615237506736981749e-34,6.605237506736982097e-14
2.572016460905349433e+01,6.236565329361134502e+00,-3.031615362466687102e+01,2.696784954011956053e-34,2.696784954011956053e-34,2.686784954011956195e-14
2.606773440106773521e+01,6.230479343199020192e+00,-3.032073779887272735e+01,2.256273433317735423e-34,2.256273433317735423e-34,2.246273433317735627e-14
2.641530419308196898e+01,6.224392435881632935e+00,-3.032533093913604461e+01,-6.238287214302715698e-34,-6.238287214302715698e-34,6.228287214302716014e-14
2.676287398509620985e+01,6.218304605599402457e+00,-3.032993307334231403e+01,7.821324323269046367e-34,7.821324323269046367e-34,7.811324323269046317e-14
2.711044377711044362e+01,6.212215850537312178e+00,-3.033454422949209572e+01,-6.336359901001571727e-34,-6.336359901001571727e-34,6.326359901001572094e-14
2.745801356912468094e+01,6.206126168874903648e+00,-3.033916443570097243e+01,2.479485819089813159e-34,2.479485819089813159e-34,2.469485819089813494e-14
2.780558336113891471e+01,6.200035558786276546e+00,-3.034379372019960286e+01,2.327912078007047829e-34,2.327912078007047829e-34,2.317912078007047931e-14
